\ ------------------------------------------------------------------------------------------------------------------
\
\ S4G pipeline 5 stellar masses.
\ 
\ M.Querejeta & S.Meidt, MPIA, Heidelberg, September 2014 (contact: querejeta@mpia.de)
\
\ ------------------------------------------------------------------------------------------------------------------
\ COLUMN DESCRIPTION:
\ 
\ Column #1: Galaxy name
\  
\ Column #2: Stellar mass (ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote; M/L=0.6 Msun/Lsun)
\  
\ Column #3: Flux of ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote
\  
\ Column #4: (Weighted) average signal-to-noise ratio of the original 3.6um image (see paper for details)
\  
\ Column #5: Distance (Muñoz-Mateos et al. 2015)
\  
\ Column #6: Hubble type (Buta et al. 2015)
\  
\ -----------------------------------------------------------------------------------
|       #1|             #2|             #3|             #4|             #5|      #6|
|   Galaxy|   Stellar mass|        s2 flux|            S/N|       Distance|Hubble T|
   NGC5088      7820968960      477.518066       24.248995       24.959999       20
   NGC5107      1355174912      239.236801        7.680912       19.340000       10
   NGC5109      3766808832      247.459793       19.887150       28.410000        8
   NGC5116     26206451712      634.823120       28.597094       45.410000        3
   NGC5147      7451345920     1213.016602       21.136026       21.600000        5
   NGC5169      7775649792      141.604858       20.266220       43.549999        5
   NGC5170     74758201344     5935.090332       34.598061       27.290001        0
   NGC5173     11850708992     1183.817261       35.505501       38.000000       -4
   NGC5204       491769024     1633.760864       18.090498        5.150000        9
   NGC5238        85950768      139.962570        6.399903        4.860000       20
   NGC5253       995054720     5984.730469       31.937553        3.670000       20
   NGC5254     28426768384     1958.573486       23.880222       33.020000        4
   NGC5264       336361408      963.649414        9.845312        4.470000       20
   NGC5273     11410870272     1061.780518       20.335588       15.960000       -3
   NGC5289     24653656064      646.508179       45.127998       39.790001        0
   NGC5290     68374413312     1988.026367       62.835987       34.980000        1
   NGC5297     35748610048     2123.848389       38.689320       33.150002        4
   NGC5301     19335704576     1774.253662       37.558369       23.889999        6
   NGC5311     33535778816      925.870850       19.640732       35.270000       -3
   NGC5338      1306316416      248.087753       35.878914       12.800000       -2
   NGC5348      2839683584      198.060028       16.578875       19.780001        7
   NGC5353    129643454464     2799.112549       15.580094       33.770000       -1
   NGC5354     61944143872     2694.350830        9.338784       30.719999       -4
   NGC5355      9116147712      414.036743       20.281456       37.650002       -2
   NGC5356     13216939008     1327.623047       27.156286       25.160000        4
   NGC5362     11747313664      767.311707       29.195969       31.650000        4
   NGC5364     35413307392     4983.288086       18.278637       19.510000        3
   NGC5377     45288091648     2455.621582       18.647833       27.500000        0
   NGC5403     38471868416     2466.543457       16.837839       36.570000        2
   NGC5422     28376068096     1160.281738       42.989830       28.100000       -1
   NGC5425      6539990016      348.677490       25.517595       38.650002        8
   NGC5443     24072183808     1799.450928       31.155704       30.900000        1
   NGC5452      4077172224      149.786560       10.203175       33.049999        4
   NGC5464      6428936192      339.290314       22.710289       33.770000        8
   NGC5470      7647864832      954.519043       36.625107       24.700001       20
   NGC5472     12075799552      560.700623       44.580048       42.330002        0
   NGC5473     56872009728     1969.180420       33.296814       33.400002       -3
   NGC5476     11576545280      562.042725       20.048847       35.430000        5
   NGC5477        77628384       78.479935        7.192263        6.400000       10
   NGC5481     16776556544     1433.910156       19.954742       32.320000       -4
   NGC5486      3929627648      159.244659       12.434114       34.240002        7
   NGC5492     15861537792      654.991028       26.467674       47.299999        3
   NGC5496      5566761472      451.332062       16.872768       24.070000        7
   NGC5506     27378106368     6738.982910       65.903053       23.830000        0
   NGC5523      6252577792      894.932068       19.054979       19.980000        6
   NGC5529     95834562560     2646.876465       52.130764       44.130001        1
   NGC5560      8329032192     1470.044189       26.244919       20.580000        7
   NGC5566     61952233472     7062.328125       38.402569       23.330000        1
   NGC5574     11785273344      649.488647       12.403179       23.950001        0
   NGC5576     50343120896     4091.348145       20.969139       23.930000       -5
   NGC5577      7562978304      863.540894       20.776213       22.990000        6
   NGC5585      1779988736     2215.512695       15.174020        8.650000        6
   NGC5587     13518366720      778.976196       42.611984       30.709999        0
   NGC5608       860938432       80.687286        5.813444       15.200000       10
   NGC5630      6778915328      350.648193       23.909380       33.220001        8
   NGC5631     41860907008     2702.667969        9.152552       29.780001       -5
   NGC5645      6896607744      964.416260       18.097036       22.200001        8
   NGC5668     15233665024     1300.816162       12.245521       26.900000        6
   NGC5673      7112563712      278.183167       22.124540       39.240002        7
   NGC5689     65040420864     1563.638306       30.554504       35.599998        0
   NGC5690     14821169152     3288.538086       40.134354       21.290001        7
   NGC5693      5063171072      156.719788       11.924036       30.389999        8
   NGC5701     52082532352      557.383301       18.244757       26.100000        0
   NGC5708      9694558208      504.284760       30.065178       36.680000       20
   NGC5714     24582701056      533.942139       37.783756       41.189999        5
   NGC5719     35367428096     5729.682129       34.217216       25.990000        0
   NGC5729     14123211776     1723.043701       35.482819       25.830000        7
   NGC5730      6593476608      359.981323       28.326574       33.759998        7
   NGC5731      3688307712      119.222290       17.085873       33.910000        9
   NGC5756     19499241472     2025.497070       31.731810       28.180000        2
   NGC5774     11734320128      379.780457        8.827225       30.629999        7
   NGC5775     51000336384     8715.125000       75.276627       21.440001        5
   NGC5777     59035807744      749.052734       52.220783       50.730000       -1
   NGC5789      1507108864      181.840164       10.643537       24.040001        9
   NGC5792     59674755072     2723.169678       59.345734       24.440001        2
   NGC5798     10790721536      364.223541       19.592115       45.450001        7
   NGC5809     13277669376      458.373535       35.588169       37.680000        1
   NGC5832      1836999424      662.853516       11.862367       11.500000        8
   NGC5846    179431276544     7649.111328       12.961107       26.709999       -3
   NGC5854     16089289728     1507.300659       48.557823       23.469999       -1
   NGC5861     38362677248     2951.882812       36.085136       27.950001        5
   NGC5864     20340412416     1572.674561       49.883114       24.430000       -1
   NGC5878     58394062848     1508.572998       43.409595       30.139999        1
   NGC5879     10007416832     2945.477539       45.548382       16.120001        4
   NGC5892     17787353088     1067.939331       11.493058       31.240000        6
   NGC5894     54254444544     1497.782104       51.559525       41.869999        3
   NGC5899     69019238400     2709.781982       19.960913       38.080002        4
   NGC5900     71404298240     1549.789795       41.376835       54.340000        3
   NGC5907     61845422080    21293.513672      171.735489       16.639999        5
   NGC5913     25709322240     1553.619629       32.670074       32.000000        0
   NGC5916     18248796160      981.068237       26.599508       30.969999        1
   NGC5930     26696327168     2098.951660       46.221973       34.959999        0
   NGC5949      4778663424     1239.380493       35.352669       14.250000        4
   NGC5951      8137843712      623.749939       21.652138       27.840000        6
   NGC5964     17273939968      880.714539        8.632315       26.570000        6
   NGC5981     20089769984     1192.052490       53.385147       29.200001       -1
   NGC5984      5196615168      661.626587       24.638996       19.969999        7
   NGC6014     16286081024      484.594269       22.554790       33.209999        0
   NGC6118     31072370688     3769.892334       32.907761       23.370001        6
   NGC6168      8889452544      525.411987       36.958797       33.590000        8
   NGC6181     41609551872     4429.312988       71.895370       33.410000        4
   NGC6278     41404891136     1031.155518       44.936974       39.150002       -2
   NGC6339     12161120256      148.404984       12.507079       30.540001        6
   NGC6395      3551111936      138.186005       19.256056       22.600000        7
   NGC6434     18131013632      474.016907       37.995377       40.070000        3
   NGC6503      4722876416     7476.278320       22.418997        5.520000        4
   NGC6870     86951075840     1524.766602       34.782269       55.360001        1
   NGC6887     37120188416     1760.528931       39.318729       32.730000        3
   NGC6925     52701323264     7344.245117       62.433006       30.719999        3
   NGC7059     23064121344      980.589600       18.553356       33.119999        7
   NGC7064       843690432      449.317139       15.839583       11.350000        7
   NGC7079     41604288512     1181.101807       43.370060       31.799999       -2
   NGC7090      5465345024     2896.168945       32.390602        8.400000        7
   NGC7091      4663916544      157.627380        7.936239       34.259998        9
   NGC7107      5530599936      179.276154        9.577617       27.600000        8
   NGC7151      5224014848      567.853760       18.722076       24.920000        7
   NGC7154      9708690432      228.043793       12.617466       28.350000        8
   NGC7162     14124969984      637.035889       18.783287       34.439999        5
   NGC7180      5709452288      457.460846       50.198845       18.559999       -2
   NGC7183     64150564864     2519.349609       31.376839       35.230000        0
   NGC7184     88467210240     5498.788086       49.060646       33.599998        2
   NGC7188      3092806144      365.920166       15.082387       23.480000        3
   NGC7191     13219764224      647.820923       27.802877       37.709999        3
   NGC7218     15395442688     1308.208618       34.242908       24.760000        6
   NGC7280     14205499392      636.211121       35.755367       23.059999       -3
   NGC7307      9129537536      150.324615       16.985268       29.320000        7
   NGC7314     22316134400     5124.896484       42.536919       18.500000        4
   NGC7328     23156109312      329.245239       43.688599       36.200001        1
   NGC7347     11927726080      419.164429       41.830536       38.650002        5
   NGC7361      3754986752      779.952454       17.561100       17.200001        9
   NGC7368     20150577152     1645.226074       62.789314       32.689999        4
  NGC7418A      1414477312      169.662766       27.717461       25.400000        2
   NGC7437      6323292160      358.814453       10.144447       29.200001        5
   NGC7448     26983860224     1850.887939       52.357262       27.690001        5
   NGC7456      4976667136     1370.843628       12.756667       16.190001        6
   NGC7462      2868054016     1294.120483       42.688545       12.250000        9
   NGC7465      9410967552     2329.860352       41.689846       27.200001       -3
   NGC7497     11026909184     1386.521484       22.021458       19.740000        8
   NGC7531     24834668544     2415.807373       30.841078       22.790001        1
   NGC7541     76897304576     3844.766357       73.183220       32.869999        4
   NGC7590     26910633984     5606.775879       70.677254       25.280001        4
   NGC7599     22268137472     3019.478760       39.787598       20.320000        6
   NGC7690      9525733376     1165.736572       41.238113       22.680000        0
   NGC7694      5256581120      296.160339       15.350401       30.389999       10
   NGC7709      4018590720      322.088043       19.576942       23.780001       20
   NGC7721     21971048448     1914.145508       45.291794       22.290001        5
   NGC7732      6122789888      246.635620       15.170010       38.720001        7
   NGC7743     27376406528      483.813263       11.544866       21.430000        1
   NGC7793      4234805760    16451.794922       22.457794        4.170000        5
   NGC7800      3940347904      385.448608       12.415671       23.900000        9
   NGC7814     56586375168     5888.859863       39.732048       17.170000        0
   NGC7817     32964915200     3469.870850       66.002136       25.350000        4
 PGC003853      5139203584     1277.258301        7.483070       12.600000        6
 PGC005341      4780397056      570.429077       24.521521       26.870001        5
 PGC006228      1718448384      247.228210       12.533387       21.600000        8
 PGC006667      4747452416      342.742065        6.987631       24.600000        8
 PGC007682      2348032768       76.789612       19.949360       32.750000        7
 PGC008295      1106185984      101.882721        7.590509       21.250000        8
 PGC009354      1571376512      171.486908       16.226799       24.280001       10
 PGC011248      5552827392      116.967819       10.842093       31.670000        7
 PGC011367      3636461056      553.686340       13.909754       20.969999        3
 PGC012068      1847189248       90.701225        6.139228       27.600000        9
 PGC012130     11451293696      515.995972       47.734406       36.549999        5
 PGC012664      4182585856      136.826721        7.700183       34.700001        6
 PGC012798      4087522560      167.196289       16.109968       29.340000        7
 PGC013646     26477559808     1375.465942       52.985443       35.310001       20
 PGC013716     10996363264      922.700317       37.222397       28.010000        5
 PGC013821      4130912256     1179.626831       31.923288       16.490000       20
 PGC014600      2979772928       98.074615       14.312340       33.330002        9
 PGC015214       500734080       15.693443        5.511204       24.000000       10
 PGC015625       853359360        2.994980        5.379860       32.330002       10
 PGC016784      2345258496       65.401077        7.090149       24.900000        8
 PGC024469      1788725376       93.146866       10.454750       27.400000       20
 PGC027747      2383096576       69.971779       14.182578       30.430000        7
 PGC027810     19443646464      306.878082       12.835042       60.599998        5
 PGC027825      1763783296       70.768715        8.562616       25.240000        9
 PGC027833      5101098496      170.043976       10.660698       28.799999        8
 PGC028308     41036767232     1207.212891       46.696243       75.099998       20
 PGC029653        35202372      803.447998        8.854394        1.440000       10
 PGC031979      3217882880      117.348656        8.485219       30.200001        8
 PGC032091      4134169856      219.958130        9.724840       33.610001        5
 PGC036274      4050376704      281.542847       14.047931       27.299999        9
 PGC036643      3288299008      216.363098       10.874489       27.200001        7
 PGC037238       775030912      124.483093        7.966937       19.820000        9
 PGC043345      6559605248      418.647034        6.838411       23.299999        6
 PGC043458      7160461824      325.360046        9.342267       31.299999        7
 PGC044278       704586496      166.316360        7.905941       16.770000       20
 PGC044358      8466934784      665.448242       29.823315       27.709999        7
 PGC044954      2204589568      148.835724       18.238667       37.029999        8
 PGC045084       168577760       78.098320        4.317234        5.680000        7
 PGC045195      4204046336      134.243774        6.891514       25.000000        9
 PGC045650     18977554432      608.506897       44.774307       34.369999        1
 PGC045877     40983486464     2891.189941       55.735920       35.400002        6
 PGC046261     13512280064      336.911499       27.580494       46.680000        6
 PGC048179      5925271552      853.376709       13.119868       22.700001        6
 PGC051523      1433452032      161.580460       12.909798       22.690001        9
 PGC052809     10026089472     1661.201172       32.807110       24.840000        7
 PGC053134      3887314176      142.674500        7.467562       30.700001        8
 PGC053415      5300356096      350.321594       36.704910       30.940001        1
 PGC068061      7159314944      384.187439       50.509865       33.500000        9
 PGC068771      4692796416       61.388035        6.155682       37.770000        8
  UGC00260      9676588032      626.898376       25.984518       32.279999        7
  UGC00903     51456872448      421.314667       91.159782       40.369999        3
  UGC00964      7900356096      118.898010       25.087559       65.669998        8
  UGC01014      1118467456       46.918400        8.787173       28.430000        9
  UGC01020      3865959936      108.640121       16.084656       34.520000       -2
  UGC01200       411420288      215.988281       10.666565       10.790000       10
  UGC01547      2270133760       28.826033        7.069445       35.099998        9
  UGC01551      8592074752      318.548523        8.548467       35.599998        6
  UGC01862      2315049984      391.713898       13.811263       20.410000        3
  UGC01945      2699425536      206.002579       10.109339       23.590000       10
  UGC02082      1438905088      343.903931       16.768431       13.300000        7
  UGC04151      7065287680      462.090332       23.701529       30.480000        5
  UGC04238      3196576256      238.338257       10.088934       24.580000        9
  UGC04305       174507712      360.835815        7.656268        3.340000       10
  UGC04499       509355136      100.816360        6.110555       12.800000        9
  UGC04514      1141619584      133.394135       12.537223       17.940001       10
  UGC04543      1926163712       22.097733        5.256601       30.000000        9
  UGC04549      1880111616      367.055786       18.829813       17.180000        5
  UGC04550      7132750848      330.704681       23.230261       37.720001        4
  UGC04551     11527243776      533.729248       59.174824       22.950001       -1
  UGC04559     16446726144      750.950134       32.669930       38.430000        0
  UGC04623     27813818368      860.390747       40.951530       43.220001        4
  UGC04659       692680576       56.773598        8.061500       23.330000        8
  UGC04722       554443136       40.161095        7.086342       26.230000       10
  UGC04777      1721013632       54.781853        9.252634       33.549999        9
  UGC04841      5414457344      217.966019        6.343394       27.299999        6
  UGC04845      4523222016      131.530426       10.746393       41.299999        5
  UGC04867      2595809792       33.283985       17.040476       33.290001        7
  UGC04982      7047547904      342.451111       44.307941       35.110001        5
  UGC05050      2529628160      218.719437       27.018223       29.040001       20
  UGC05228     10986700800      417.204559       15.199558       31.940001        6
  UGC05245       436882432       27.476330        5.184595       18.959999        9
  UGC05249      2575115008      120.647568       11.092695       27.670000        7
  UGC05272        74629808        4.941444        8.737095        6.810000       10
  UGC05358      1983740928       77.034119        8.840440       38.849998       20
  UGC05373        33415354      205.097107        5.236942        1.630000       20
  UGC05376     17134440448       13.630910       49.960648       27.330000        3
  UGC05459      9331074048      553.405518       13.954483       22.030001        8
  UGC05522      3341734400      142.968964        9.993206       38.000000        4
  UGC05540       379046880       84.425072       11.125942       15.550000        8
  UGC05612      3408662016      232.703247       12.007933       19.100000        9
  UGC05642      6631940096      244.080841       27.151268       47.299999        8
  UGC05646      1603333248      140.855911       17.208866       18.250000        7
  UGC05689     10291022848      210.168045       23.552755       58.299999        5
  UGC05708       946047616       96.944611       16.092043       20.299999        8
  UGC05720      4731380224      594.039490       27.665840       24.900000       -5
  UGC05739     13226139648      657.146362       43.999344       39.610001       10
  UGC05765       973326144      115.874771       14.212513       24.309999        7
  UGC05798       623994240       69.449059       15.217948       20.250000        9
  UGC05829       206608832       34.378685        3.706877        8.000000       10
  UGC05833      2356596224      165.267914       24.425249       23.200001       -5
  UGC05989       534293536      166.311462       12.963783       15.020000        8
  UGC05990      1065159936      166.879639       19.154922       20.920000       20
  UGC06023      9966450688      556.462830       30.371964       32.959999        5
  UGC06162      6435699712      254.074402       14.323552       34.029999        7
  UGC06271      2546885120      228.577179       36.375751       26.790001       -2
  UGC06307      1576041984      207.356964       17.088327       26.190001        9
  UGC06345      1533677056       83.955215        7.286254       26.900000        9
  UGC06378       710400128      110.978554        4.301552       21.670000        9
  UGC06433      1378333952       67.398026        8.516003       28.129999       10
  UGC06526      2810392064      306.634338       23.462629       25.430000        9
  UGC06534      1788853888      300.717957       12.840332       20.430000       10
  UGC06575      3609878528      159.477737       15.941110       36.099998        7
  UGC06628      1902740224      204.733154        8.552114       17.000000        9
  UGC06670      1162307840      336.577332       15.098425       17.200001        7
  UGC06780      3080995840       45.946709        5.983211       38.450001        8
  UGC06879      9211047936      262.761963       19.598263       43.650002        7
  UGC06917      3039867648      134.488129       13.949680       18.870001        7
  UGC06930      4089118464      579.964844        7.472428       17.000000        8
  UGC07009       848146816       94.512909       11.256256       21.200001        8
  UGC07035       744147200       87.089157       17.190996       16.370001       10
  UGC07086     16206696448      464.945496       35.705105       37.029999        3
  UGC07189      1927928064      237.023560       18.177015       22.440001        7
  UGC07257       537324672      104.223793       10.525930       16.299999       10
  UGC07321      1402814592      415.970337       25.930395       14.980000       20
  UGC07490       746802048      227.666489       12.586023       11.100000        7
  UGC07522     23923501056      772.140198       41.835434       42.930000       20
  UGC07557       229002416        0.000000        3.320477       16.799999        7
  UGC07590      1693781504      149.772232       29.255293       31.100000       20
  UGC07605        18652842       22.031067        4.259486        4.320000       20
  UGC07690       311186976      368.786530       10.658327        7.500000        9
  UGC07699      1565352448      302.674347       10.683609       15.130000        7
  UGC07700      4178076416       62.816734        7.023918       39.639999        9
  UGC07941      2643006976       59.398926        7.518436       43.240002        8
  UGC07982      3739776512      696.113464       20.118200       19.600000        5
  UGC07991      4310062592      109.413620       16.603317       29.920000        7
  UGC08040      5854052352      282.587921       41.604042       34.040001        3
  UGC08041      3156651008      293.142975        5.673663       16.299999        5
  UGC08052      1966121216      293.335907       22.281216       20.580000        5
  UGC08067     13339266048      527.186707       33.973866       47.259998        3
  UGC08084      3982214144       51.200081        5.940668       41.099998        9
  UGC08146       772662464       95.220596        9.027504       18.120001        8
  UGC08166       803098624        9.778265        7.989582       50.770000        8
  UGC08246       648264512       76.431961        6.364094       18.740000        8
  UGC08303      1046791488      117.939255        6.325008       20.299999       10
  UGC08489       752784320       64.334625        6.591058       24.600000        9
  UGC08507      1806615168      160.910141        7.167353       22.799999       10
  UGC08597      2931085824       43.351295        7.233948       38.400002        8
  UGC08630      4815574016       84.575958        9.665713       32.509998        9
  UGC08684      8083907584      365.635162       18.464575       37.580002        4
  UGC08688       563142656       87.984604       26.229029       18.070000       10
  UGC08737     21535096832     1583.772339       45.914627       39.130001        4
  UGC08756      6978515456      701.200073       37.257130       33.799999        0
  UGC09056      2055455104      122.473145       16.356133       26.830000        7
  UGC09057      2667964928      186.710114        8.453586       26.600000        7
  UGC09215      6815420416      287.868286       11.862195       28.200001        6
  UGC09291     12219420672      278.362427       15.616595       44.029999        4
  UGC09299      1796577024      140.666077       14.515409       30.830000        7
  UGC09389      1711889536       79.595551       11.297809       24.320000        8
  UGC09394      1442146048       57.135147        7.492864       28.170000        8
  UGC09448      6812638208      223.520447       26.471117       46.669998       20
  UGC09569      2544381696       85.606918        9.348370       33.240002        5
  UGC09661      1172223744       69.787369        9.979215       16.559999        8
  UGC09663      1919443200        3.042111        5.013487       38.200001        9
  UGC09665     16246117376      381.713196       51.305908       39.580002        4
  UGC09703      7811259392      253.202576       38.263908       46.349998       20
  UGC09730      1473059072       73.459488        6.655646       28.430000        5
  UGC09746      1927342336      204.686066       19.743490       23.139999        6
  UGC09856      1923288320       42.714676        9.953266       33.270000        7
  UGC09858     21601411072      724.442993       25.127548       39.189999        3
  UGC09977      6010066944      506.303772       20.754494       28.940001       20
  UGC09992       114601112       35.344170        5.122222       11.200000       10
  UGC10020      5525496832      212.856476        7.973202       33.400002        6
  UGC10043     18060197888     1081.202881       41.257702       48.939999        0
  UGC10054      2537612288       95.367188        7.783130       25.600000        7
  UGC10288     16368144384     1703.171875       36.522888       30.770000       20
  UGC10297      4241770496      167.244904       22.249046       38.790001        7
  UGC10310       626822272       77.244690        5.102797       15.800000       10
  UGC10477       136244448       59.791725        8.669249       11.350000        8
  UGC10713      7740097536      511.274719       33.896339       30.950001        5
  UGC10806      1194310912      252.615936       12.549904       18.799999        8
  UGC12178      7357837312      485.337646       13.918475       26.500000        7
  UGC12281      5690260480      318.143372       18.827230       34.549999        6
  UGC12308      3953890816       63.080299        9.710274       39.230000        5
  UGC12682       871270976      107.599335        6.916169       20.000000       10
  UGC12692      9251878912      215.426758       33.365376       49.549999        7
  UGC12843      2910502144       23.566998       40.788521       24.500000        7
  UGC12857     10253240320      322.823669       30.813997       36.720001        1
ESO298-023       357945088        1.606817        6.516318       18.309999        9
ESO466-036     12235098112      182.196182       17.090855       50.099998       -5
ESO502-020      1068704512      160.419968       10.684555       18.420000        7
ESO506-029      3219867392       38.625717        5.417005       39.910000        8
ESO510-058      8003649536      491.352539       33.185173       30.850000        9
ESO510-059      6726261760      116.788040        8.268017       33.599998        5
ESO532-022      1645471232      110.292435        9.519055       30.379999        7
ESO548-025      1087058176       13.176657       10.010192       22.400000       20
ESO548-082       387549184       31.251038       11.021907       23.020000        9
ESO549-018      9879744512      776.963562       14.301161       31.040001       20
ESO549-035       397196864       28.420876        5.735757       24.290001        7
ESO576-001     34887311360      408.218750       37.384892       85.599998        1
ESO603-031      2118803200       63.112240       13.736540       30.219999       10
    IC0101      5706017792       55.570702       16.735313       44.400002        1
    IC0749     19053682688     1073.660645       14.990688       34.480000        6
    IC0750     37303214080     6663.791504       64.777626       23.510000        1
    IC3267      1422943232      185.744843       10.920897       16.430000        1
    IC3611      5062779904       21.000156        9.687201       36.490002        9
    IC3727      2090190848       74.958405        8.413468       29.730000       20
   NGC0275      7384725504      924.216431       31.551586       21.900000       20
   NGC0450      4891274752      701.165161       13.740352       20.049999        6
   NGC1015     26780471296      393.722900       17.926197       33.099998        0
   NGC1452     22164465664     1503.158203       35.360764       22.799999        0
   NGC2750     33822294016      768.489746       10.444525       38.400002        3
   NGC3018      2530496000      226.205292       20.461998       24.850000        7
   NGC3020      7387966464      369.545410        6.697634       28.450001        8
   NGC3389     10270691328     1252.130493       27.297173       21.290001        5
   NGC3395     11991754752      930.830200       21.985552       25.760000        5
   NGC3423      4824522752     2840.372070       18.925282       10.900000        4
   NGC3433     27208626176     1030.244629       14.244814       39.500000        3
   NGC3485      6685457408     1073.500000       18.216352       19.110001        3
   NGC3507     11771539456     2258.090332       25.689013       15.800000        3
   NGC3547      6303211520      582.529114       29.808569       27.070000        6
   NGC3596     10238647296     2314.399170       21.413330       15.450000        4
   NGC3629     11833279488      334.518677       13.770199       38.910000        6
   NGC3689     39294648320     1956.948975       48.576748       41.509998        3
   NGC3701     14979392512      406.197784       20.727369       45.549999        5
   NGC3730      8504763392     1350.098267       61.510967       22.889999        1
   NGC3813     25653434368     2576.158447       51.710125       25.610001        4
   NGC3896       844027392       81.523544       12.171979       12.870000       20
   NGC3912      9475651584      865.177368       16.653772       25.370001        9
   NGC3930      4084732928      384.951263        8.932482       17.600000        7
   NGC4034      3733527552      125.148697        9.523840       31.559999        1
   NGC4165     12622626816      147.348160       20.388948       45.680000        2
   NGC4193     28248727552     1248.586914       31.646372       37.349998        1
   NGC4248       661833408      513.847107       12.522357        7.300000       10
   NGC4260     71136804864      923.877808       31.124708       38.320000        1
   NGC4389      6386675200     1780.246826       26.280588       15.050000        7
  NGC4411A      1676126464      217.753204       10.914244       16.799999        6
   NGC4492      9463764992      850.422791       20.826239       16.799999       -3
   NGC4506      1016772864      222.642975       15.660419        9.830000        1
   NGC4567     31810387968     3549.253906       65.772003       25.549999        4
   NGC4584      4412467200      186.591553       13.997170       23.309999        9
   NGC4772     38237900800     4540.037109       17.474087       30.480000        0
   NGC4791      3594147328      162.885712       38.651451       33.750000       -1
   NGC5326     35226537984     1023.071350       25.590855       31.660000       -3
   NGC5360      2687453952       85.205574       13.107564       22.900000       -5
   NGC5569      1152651520       72.356850        6.790911       17.400000        9
   NGC5602     13719534592      548.647095       37.408169       29.600000       -1
   NGC5954     15304315904      767.354675       20.668467       32.099998        3
   NGC7371     26002577408     1225.113770       18.697641       31.200001        2
   NGC7378     11872225280     1074.391602       34.020142       33.480000        0
   NGC7421     13148480512     1443.270020       21.189167       23.950001        2
   NGC7724     12917213184      204.115448       21.014359       37.630001        1
   NGC7727     56384442368     6556.593750       31.780584       23.299999        1
   NGC7731      8249029632      342.210266       14.319663       36.799999        1
 PGC002492      1127120128      121.982971        7.979790       20.700001       20
 PGC014037      1926617856      118.299347       14.495828       33.950001        5
 PGC028380      3148473344       45.463165       10.027207       33.680000        8
 PGC038250      1511704832       32.331398        6.476543       34.730000        9
 PGC042068      1265733760       73.829346        6.257284       23.889999       -2
 PGC047721     16085644288     1460.654053       29.349405       28.920000        2
 PGC053779      3955032064      390.385071       13.285449       24.730000        6
 PGC066242      4775586816       76.639832        9.092203       40.349998        7
 PGC069448     15044249600      267.631561       15.300786       39.880001        4
  UGC01112      1075559936      110.416183       11.873642       25.750000       10
  UGC02081      4563309568       56.512623        5.845585       43.250000       20
  UGC05179       544803072       53.357262        8.794240       18.110001       -2
  UGC05976       573385472       68.909119        7.922264       16.129999        8
  UGC06194      4033730816      202.876022       11.417439       35.240002        9
  UGC06249       592382464       69.750229        6.058503       14.140000        8
  UGC06335      3842729472       43.243843        6.583918       39.029999        5
  UGC06512       771008576       45.674904        9.226789       24.930000        0
  UGC06922       360504192       52.204727        7.168013       11.890000        1
  UGC07129      4135245824      321.101013       19.226692       22.879999        1
  UGC07943      1731559680      122.959610       20.832691       20.000000        7
  UGC08042      1650189952       66.590286        7.879011       35.430000        7
  UGC08155     10430184448      150.035431        9.164589       38.970001        1
  UGC08693      4656636928      130.625092        9.765333       32.509998        8
  UGC09274       903596928      254.678802       12.038215       15.280000        7
  UGC09601      1643259136      137.734436        9.324305       24.620001        7
  UGC10854      1003692992       34.110405        6.954895       37.490002        9
  UGC12681       721358208       53.770828        8.195209       33.150002        8
  UGC12893       734743808      111.394363        6.627999       14.700000       20
ESO011-005      4262706176       94.738907       12.162229       51.680000        8
ESO012-010      4582011392       11.974844        5.757169       32.750000        7
ESO012-014       607194560       16.716862        1.250645       23.400000       10
ESO048-017      1280070912       25.197861       10.387692       29.520000        9
ESO107-016       735666880       51.356781        8.749438       28.580000        8
ESO115-021       165148096      230.536591        6.368274        5.700000        9
ESO119-016      1222972032       64.167496        5.211277       26.629999        8
ESO120-021       189546560        3.505587        4.671372       17.379999       10
ESO145-025       700712960       61.395653        4.501638       22.500000        8
ESO146-014       494436096       29.678217        5.392615       21.379999        8
ESO149-003        22114990       29.498772        5.865836        6.250000       10
ESO150-005       733975552       42.520981        6.611357       15.150000        6
ESO159-025       140805712       15.697281        4.593365       11.800000       10
ESO187-035       455135488       16.031389        4.775727       26.200001        9
ESO187-051       267554576       14.719954        4.700821       16.799999        9
ESO202-041       171235360       20.659500        4.330344       16.969999        9
ESO234-043      1640080384       35.565369        6.213696       26.950001        6
ESO236-039       285540224       25.469839        7.144355       21.350000       10
ESO237-049      1907286784       65.977486       10.950644       34.759998        7
ESO237-052      2793259520       82.134277        9.552922       36.459999        7
ESO240-004       245884704       23.081963        6.354001       22.520000        9
ESO245-007          653867      178.371811        8.700109        0.420000       10
ESO248-002      1943771392      188.029816       10.401428       19.870001       20
ESO249-026        66788344       10.635586        8.015452       12.400000       10
ESO249-035       103138704        8.743612        6.132168       22.940001        8
ESO249-036        35108712        4.993340        2.824613        9.400000        9
ESO288-013      2656351232       64.398003        8.524784       34.189999        8
ESO289-048      1917153024       73.903908       10.119256       34.320000        7
ESO291-024      1216728320       61.337700       11.347944       27.459999        9
ESO293-034      9431195648     1638.582520       44.767555       18.299999       20
ESO293-045       465608192       27.099430        6.865647       27.879999        9
